"","Year","variable","value","se.value","rot_tr.value"
"39",2013,"X2",5.4065211595855,2.15868306299167,8.20920991345325
"40",2014,"X2",5.44531177323303,2.02478705447376,7.77457965557829
"41",2015,"X2",5.44297564639202,2.2181920729672,7.3925860465119
"42",2016,"X2",5.61929185968163,2.3162598957552,7.8641585957342
"43",2017,"X2",4.88080178679516,2.20731846549318,7.49080430745467
"44",2018,"X2",3.3811329507458,2.38300362518342,6.07318055081045
"45",2019,"X2",2.35832784935043,2.4249934507324,5.46112434897619
"46",2020,"X2",1.95427185702816,2.17101083807094,5.22159304499404
"47",1998,"X3",0,0,0
"48",1999,"X3",-0.781038223810304,0.751241601721859,-0.644643411475188
"49",2000,"X3",-2.96521135388875,1.30274881825097,-3.17627466722656
"50",2001,"X3",-2.85509584489731,1.26579053335213,-2.94237697623525
"51",2002,"X3",-3.02880829428006,1.92000131904423,-2.6992911401889
"52",2003,"X3",-2.62850250268813,1.48214676935432,-1.98218793289401
"53",2004,"X3",-3.04986084797842,2.18584438813417,-1.79457052622187
"54",2005,"X3",-2.28656471914066,1.36240322384002,-1.43996084627397
"55",2006,"X3",-0.57721803975434,1.97808212770748,0.179870728170846
"56",2007,"X3",-2.10321370244967,1.98034705467196,-0.440869736269639
"57",2008,"X3",-2.5004604473742,2.08229533067017,-1.11169726788278
"58",2009,"X3",-1.83768630978699,2.30914897609091,-0.298962036715273
"59",2010,"X3",-0.888327003165799,2.90039340103249,0.959430023409584
"60",2011,"X3",-0.168534798708344,2.71063485750959,1.87685113396669
"61",2012,"X3",-1.02012426815846,2.68654599145238,1.56737118371432
"62",2013,"X3",-1.20120131118882,3.07904173645281,0.910309764702999
"63",2014,"X3",-2.92459059266549,2.76823930170577,-0.579763400551502
"64",2015,"X3",-2.96083911945126,2.93338122595815,-0.727477435860593
"65",2016,"X3",-3.35586529164341,3.09392391551181,-0.944439690434921
"66",2017,"X3",-2.99988457820971,3.12542334832573,-0.2355762746529
"67",2018,"X3",-2.02486006755863,3.38938128796748,0.522007960210916
"68",2019,"X3",-1.80992205445383,3.66191433021836,1.23045653104926
"69",2020,"X3",-2.69599266523551,3.47419590895746,0.807445255290733
"70",1998,"X4",0,0,0
"71",1999,"X4",-0.871219426433492,0.770593961871184,-0.111419857573323
"72",2000,"X4",-0.572944454772796,1.24986800561081,-1.17413116759145
"73",2001,"X4",-0.640219541730566,1.22717132381239,-1.06205015722248
"74",2002,"X4",-2.3427742079676,1.41341698864444,-2.53854691954245
"75",2003,"X4",-3.02411885533981,1.36549132252846,-2.14202524963109
"76",2004,"X4",-4.54954477511503,1.45313469652341,-4.25469512814087
"77",2005,"X4",-3.41503163992062,1.53714551722987,-1.68587629126811
"78",2006,"X4",-4.92332856334495,1.73159379531268,-2.06148718868772
"79",2007,"X4",-6.48575934772792,1.86235151975815,-3.40266642299938
"80",2008,"X4",-5.64920539551173,2.11542921428676,-2.7488136067402
"81",2009,"X4",-6.04564135311213,2.20301430108164,-2.86977250100531
"82",2010,"X4",-6.39115341532303,2.34926685977444,-3.87115173265351
"83",2011,"X4",-6.28883753826954,2.36818696979617,-3.47447230751747
"84",2012,"X4",-7.22896794022561,2.63961865605022,-3.33486643869481
"85",2013,"X4",-6.32076820062942,2.70328865758251,-3.45108271521424
"86",2014,"X4",-5.56279090337744,2.82827693254838,-2.89538001795882
"87",2015,"X4",-4.41889943429869,3.06521730779668,-2.32670082862296
"88",2016,"X4",-5.09367662773856,3.07945127752397,-2.86443543682827
"89",2017,"X4",-5.72732803922726,3.01759943139059,-3.50345794576909
"90",2018,"X4",-5.08871187270855,2.8901397506608,-3.98929907675332
"91",2019,"X4",-5.65582843153108,2.98991089517823,-4.79960011960243
"92",2020,"X4",-6.25723543172991,2.86887687578703,-5.20149510357113
"93",1998,"X5",0,0,0
